State,Medicinal,Amount,Source,Recreational,Amount,Source
Alabama,Pending,N/A,"https://alabamareflector.com/2024/02/13/when-will-alabamians-get-medical-cannabis/#:~:text=The%20Alabama%20Legislature%20approved%20a,pain%2C%20depression%20and%20Parkinson's%20Disease.",Illegal,N/A,https://norml.org/laws/alabama-penalties/
Alaska,3-Nov-98,1oz,"https://ballotpedia.org/Alaska_Medical_Marijuana_Act,_Measure_8_(1998)",4-Nov-14,1oz,https://www.huffpost.com/entry/alaska-marijuana-legalization_n_5947516
Arizona,29-Nov-10,2.5oz,https://www.today.com/id/wbna40170982,3-Nov-20,1oz,https://www.azcentral.com/story/news/politics/elections/2020/11/03/arizona-marijuana-proposition-207-election-results/5997553002/
Arkansas,8-Nov-16,2.5oz,"https://ballotpedia.org/Arkansas_Medical_Marijuana_Amendment,_Issue_6_(2016)",Illegal,N/A,https://norml.org/laws/medical-laws/arkansas-medical-marijuana-law/
California,5-Nov-96,8oz,https://web.archive.org/web/20131024033036/http://www.pbs.org/newshour/bb/law/november96/marijuana_11-7.html,1-Jan-18,1oz,https://www.latimes.com/politics/la-na-election-day-marijuana-20161109-story.html
Colorado,7-Nov-00,2oz,https://norml.org/wp-content/uploads/pdf_files/brief_bank/NORML_Legal_Brief_Bank_Medical_Necessity_Defense_by_State.pdf,10-Dec-12,2oz,https://web.archive.org/web/20201130020423/https://kdvr.com/news/governor-signs-amendment-64-marijuana-officially-legal-in-colorado/
Connecticut,1-Oct-12,5oz,https://web.archive.org/web/20201101115032/https://www.cga.ct.gov/2012/act/pa/2012PA-00055-R00HB-05389-PA.htm,1-Jul-21,"1.5oz Carry, 5oz Home",https://www.marijuanamoment.net/connecticut-governor-signs-marijuana-legalization-into-law/
Delaware,13-May-11,6oz,https://blog.mpp.org/medical-marijuana/delaware-passes-medical-marijuana-law/,23-Apr-23,1.4oz,https://whyy.org/articles/delaware-marijuana-legalization-veto-carney/
Florida,3-Jan-17,2.5oz,https://www.jdsupra.com/legalnews/florida-governor-signs-medical-39209/,Illegal,N/A,https://norml.org/laws/florida-penalties
Georgia,Illegal,N/A,https://law.justia.com/codes/georgia/2010/title-16/chapter-13/article-1/16-13-2/,Illegal,N/A,https://law.justia.com/codes/georgia/2010/title-16/chapter-13/article-1/16-13-2/
Hawaii,15-Jun-00,4oz,https://norml.org/news/2000/06/15/governor-signs-hawaii-s-medical-marijuana-bill-into-law,Illegal,N/A (3g Decriminalized),https://www.hawaiipublicradio.org/local-news/2019-06-25/hawaii-governor-backs-decriminalizing-small-amounts-of-pot
Idaho,Illegal,N/A,https://norml.org/laws/idaho-penalties,Illegal,N/A,https://norml.org/laws/idaho-penalties
Illinois,1-Jan-14,2.5oz,https://www.nbcchicago.com/news/local/illinois-medical-marijuana-11/1960052/,1-Jan-20,1.1oz,https://www.chicagotribune.com/2019/05/31/illinois-house-approves-marijuana-legalization-bill-backed-by-gov-jb-pritzker/
Indiana,Illegal,N/A,https://norml.org/laws/indiana-penalties-2/,Illegal,N/A,https://norml.org/laws/indiana-penalties-2/
Iowa,Illegal,N/A,https://norml.org/laws/iowa-penalties-2/,Illegal,N/A,https://norml.org/laws/iowa-penalties-2/
Kansas,Illegal,N/A,https://norml.org/laws/kansas-penalties-2,Illegal,N/A,https://norml.org/laws/kansas-penalties-2
Kentucky,Pending,N/A,https://www.marijuanamoment.net/kentucky-governor-signs-medical-marijuana-legalization-bill-into-law/,Illegal,N/A,https://norml.org/laws/kentucky-penalties-2/
Louisiana,29-Jun-15,Unknown,https://web.archive.org/web/20150831120311/http://www.nola.com/politics/index.ssf/2015/06/bobby_jindal_marijuana_laws.html,Illegal,N/A (14g Decriminalized),https://thehill.com/homenews/state-watch/557244-louisiana-lawmakers-pass-bill-to-decriminalize-marijuana/
Maine,2-Nov-99,2.5oz,https://web.archive.org/web/20141106170958/http://www.maine.gov/sos/cec/elec/ref99a.htm,8-Nov-16,2.5oz,https://www.thecannabist.co/2016/11/08/maine-recreational-marijuana-results-question-1-election-2016/66808/
Maryland,1-Dec-17,4.2oz,https://cannabis.maryland.gov/Pages/aboutus.aspx,1-Jul-23,1.9oz,https://www.foxnews.com/politics/maryland-voters-approve-legalization-recreational-marijuana
Massachusetts,1-Jan-13,3oz,https://web.archive.org/web/20130120083954/http://www.sec.state.ma.us/ele/elepdf/rov12.pdf,15-Dec-16,1.1oz,https://www.courant.com/2016/11/08/recreational-marijuana-passes-in-massachusetts/
Michigan,6-Nov-08,2.5oz,"https://ballotpedia.org/Michigan_Proposal_08-1,_Use_and_Growth_of_Medicinal_Marijuana_Initiative_(2008)",6-Nov-18,"2.5oz Carry, 10oz Home",https://www.mlive.com/news/2018/11/see_how_your_county_voted_on_l.html
Minnesota,1-Jul-15,2.5oz,https://www.ibtimes.com/marijuana-legalization-minnesota-2015-5-things-know-about-opening-states-first-1988462,1-Aug-23,2oz,https://www.cnn.com/2023/05/30/politics/minnesota-cannabis-legalization-recreational-marijuana/index.html
Mississippi,2-Feb-22,3oz,https://apnews.com/article/health-marijuana-mississippi-tate-reeves-legislature-5a37104452099cf2c133d547e8d55ab5,Illegal,N/A,https://norml.org/laws/mississippi-penalties-2/
Missouri,6-Nov-18,6oz,https://www.forbes.com/sites/tomangell/2018/11/06/missouri-votes-to-legalize-medical-marijuana/,3-Feb-23,3oz,https://apnews.com/article/missouri-marijuana-3f735b5ecae3e9deb0808bb3f6f3a52b
Montana,2-Nov-04,1oz,"https://ballotpedia.org/Montana_Medical_Marijuana_Allowance,_I-148_%282004%29",1-Jan-21,1oz,"https://ballotpedia.org/Montana_I-190,_Marijuana_Legalization_Initiative_(2020)"
Nebraska,Illegal,N/A,https://norml.org/laws/nebraska-penalties-2/,Illegal,N/A,https://norml.org/laws/nebraska-penalties-2/
Nevada,1-Oct-01,2.5oz,https://norml.org/news/2001/06/07/nevada-defelonizes-pot-possessionstate-eliminates-jail-criminal-record-for-minor-offenders-legalizes-medical-marijuana-for-seriously-ill,1-Jul-17,2.5oz,https://www.reviewjournal.com/news/pot-news/legal-marijuana-sales-begin-in-nevada/
New Hampshire,23-Jul-13,2oz,https://web.archive.org/web/20130815174149/http://www.governor.nh.gov/media/news/2013/pr-2013-07-23-hb-573.htm,Illegal,N/A (21g Decriminalized),https://www.cbsnews.com/boston/news/new-hampshire-decriminalize-weed-marijuana-pot/
New Jersey,18-Jan-10,3oz,https://www.bizjournals.com/philadelphia/stories/2010/01/18/daily11.html,3-Nov-20,6oz,https://www.nj.com/marijuana/2020/11/election-2020-nj-voters-approve-legal-weed-ballot-question.html
New Mexico,1-Oct-07,8oz,https://norml.org/news/2007/04/05/new-mexico-becomes-twelfth-state-to-authorize-medical-cannabis-use,29-Jun-21,2oz,https://www.abqjournal.com/news/local/cannabis-in-nm-how-will-it-work/article_cffbfa2f-82c6-5d3e-81c5-7e7037214b27.html
New York,14-Jul-14,Unknown,https://www.cbsnews.com/newyork/news/new-york-becomes-23rd-state-to-allow-medical-marijuana/,31-Mar-21,3oz,https://web.archive.org/web/20210331151434/https://www.nytimes.com/2021/03/31/nyregion/cuomo-ny-legal-weed.html
North Carolina,Illegal,N/A,"https://norml.org/laws/north-carolina-penalties-2/#:~:text=Possession%20of%20an%20extract%20of,sentence%20that%20must%20be%20suspended.",Illegal,N/A,https://norml.org/laws/north-carolina-penalties-2/
North Dakota,8-Nov-16,3oz,https://www.nytimes.com/elections/2016/results/north-dakota-ballot-measure-5-medical-marijuana,Illegal,N/A (14g Decriminalized),https://www.vox.com/policy-and-politics/2019/5/10/18563776/north-dakota-marijuana-decriminalization-legalization
Ohio,8-Jun-16,Unknown,https://www.politico.com/story/2016/06/john-kasich-medical-marijuana-ohio-224091,7-Nov-23,2.5oz,https://apnews.com/article/ohio-marijuana-legalization-election-2023-6d15efb27fdcd41e7364f2b7cd3177f4
Olklahoma,26-Jun-18,8oz (3oz Public),https://www.cbsnews.com/news/oklahoma-votes-to-legalize-medical-marijuanna-state-question-788-tuesday/,Illegal,N/A,https://norml.org/laws/oklahoma-penalties-2/
Oregon,3-Nov-98,24oz,Unavailable,4-Nov-14,"2oz Public, 8oz Home",https://web.archive.org/web/20141105120629/http://www.kgw.com/story/news/politics/2014/11/04/measure-91-legalize-marijuana-oregon/18481827/
Pennsylvania,17-Apr-16,Unknown,https://norml.org/laws/pennsylvania-penalties-2,Illegal,N/A,https://norml.org/laws/pennsylvania-penalties-2
Rhode Island,3-Jan-06,2.5oz,https://www.nbcnews.com/id/wbna10696127,25-May-22,"1oz Public, 10oz Home",https://www.wpri.com/news/cannabis-coverage/mckee-to-sign-marijuana-legalization-bill-into-law/
South Carolina,Illegal,N/A,https://norml.org/laws/south-carolina-penalties-2/,Illegal,N/A,https://norml.org/laws/south-carolina-penalties-2/
South Dakota,1-Jul-21,3oz,https://www.argusleader.com/story/news/politics/2020/11/03/2020-election-results-south-dakota-voters-vote-legalize-medical-marijuana/6075719002/,Illegal,N/A,https://norml.org/laws/south-dakota-penalties-2/
Tennessee,Illegal,N/A,https://norml.org/laws/tennessee-penalties-2/,Illegal,N/A,https://norml.org/laws/tennessee-penalties-2/
Texas,Illegal,N/A,https://norml.org/laws/texas-penalties-2/,Illegal,N/A,https://norml.org/laws/texas-penalties-2/
Utah,1-Dec-18,4oz,"https://www.mpp.org/states/utah/summary-of-utahs-medical-cannabis-law/#:~:text=On%20November%206%2C%202018%2C%20Utah,medical%20cannabis%20for%20qualified%20patients.",Illegal,N/A,https://norml.org/laws/utah-penalties-2/
Vermont,19-May-04,2oz,https://norml.org/news/2004/05/20/vermont-approves-amended-medical-marijuana-measure,1-Jul-21,1oz,https://virginiamercury.com/2021/04/07/marijuana-will-be-legal-in-virginia-on-july-1-heres-what-is-and-isnt-permitted-under-the-new-law/
Virginia,10-Aug-20,4oz,https://vadogwood.com/2020/08/10/the-first-medical-marijuana-dispensary-in-virginia-opens-this-month/,1-Jul-21,1oz,https://www.npr.org/2021/04/07/985014557/virginia-16th-state-to-legalize-recreational-pot-latest-to-emphasize-social-equi
Washington,3-Nov-98,3oz,https://www2.sos.wa.gov/elections/initiatives/people.aspx?y=1998,6-Dec-12,1oz,https://norml.org/laws/washington-legalization
West Virginia,1-Jul-19,Unknown,https://www.wvgazettemail.com/news/health/wv-governor-signs-medical-marijuana-into-law/article_47d4eb76-e4c0-5aff-b287-e3eac615023c.html,Illegal,N/A,https://norml.org/laws/west-virginia-penalties-2/
Wisconsin,Illegal,N/A,https://norml.org/laws/wisconsin-penalties-2/,Illegal,N/A,https://norml.org/laws/wisconsin-penalties-2/
Wyoming,Illegal,N/A,https://norml.org/laws/wyoming-penalties-2/,Illegal,N/A,https://norml.org/laws/wyoming-penalties-2/
